지역,전기차충전소,아파트 현황,주택당 평균 가구원,1인당 자동차 등록대수,30년이상 노후주택 분포현황,통근통학 인구변화,연립 및 다세대 주택 현황,문화시설 1개당 인구 현황,공공도서관 분포현황
경기도,3491,3307830,2.4,0.5,580713,4524822,745609,5751.61,319
서울특별시,1880,1831428,2.2,0.3,719562,2709629,903213,4189.51,207
경북,1136,505373,2.1,0.6,294217,1192597,63663,4211.19,71
제주도,994,72130,2.3,1.0,56083,346047,57186,2108.31,22
경남,970,756788,2.2,0.6,303820,1494875,53957,4130.24,79
대구,824,615904,2.2,0.5,190471,850096,56306,5275.36,46
전북,794,394407,2.1,0.5,195448,808641,26030,2942.58,66
강원,764,337372,2.1,0.6,162023,734836,26321,2096.04,65
전남,749,336958,2.1,0.7,254952,794677,22845,2708.34,74
충남,682,470300,2.2,0.6,176804,993926,49916,3700.05,62
부산,647,860399,2.2,0.5,323210,1003010,175250,6050.93,52
충북,642,371785,2.1,0.6,151803,766253,29512,4388.99,55
인천,595,720924,2.4,0.6,247593,971070,235043,7119.88,60
대전,416,371363,2.2,0.5,132920,570831,40839,4967.35,26
광주,382,426658,2.2,0.5,122118,595726,16825,3814.37,30
울산,300,281721,2.3,0.5,82988,433647,27118,4520.13,21
세종,172,122497,2.4,0.5,9346,139672,2234,3388.25,16
